,probabilities,classification,prev_phone,next_phone,consonant,file,training
3436,0.10445296764373779,p,a,a,p,f7apa1,no
3439,0.12019797414541245,t,a,a,p,f7apa1,no
3440,0.000588021008297801,tʃ,a,a,p,f7apa1,no
3432,0.03449813276529312,k,a,a,p,f7apa1,no
3427,0.015128484927117825,b,a,a,p,f7apa1,no
3428,0.01691291108727455,d,a,a,p,f7apa1,no
3429,0.0005631910753436387,dʒ,a,a,p,f7apa1,no
3446,0.001201873179525137,ɡ,a,a,p,f7apa1,no
3430,0.06332048773765564,f,a,a,p,f7apa1,no
3449,0.029660196974873543,θ,a,a,p,f7apa1,no
3438,0.09380574524402618,s,a,a,p,f7apa1,no
3447,0.001245961175300181,ʃ,a,a,p,f7apa1,no
3441,0.011861048638820648,v,a,a,p,f7apa1,no
3444,0.004193861503154039,ð,a,a,p,f7apa1,no
3443,0.005481617525219917,z,a,a,p,f7apa1,no
3448,2.0180548290227307e-06,ʒ,a,a,p,f7apa1,no
3434,0.30645573139190674,m,a,a,p,f7apa1,no
3435,0.15737341344356537,n,a,a,p,f7apa1,no
3445,0.015981143340468407,ŋ,a,a,p,f7apa1,no
3437,0.003082921961322427,r,a,a,p,f7apa1,no
3433,0.011661402881145477,l,a,a,p,f7apa1,no
3431,0.00027919665444642305,j,a,a,p,f7apa1,no
3442,0.0020516621880233288,w,a,a,p,f7apa1,no
4195,0.10788854211568832,p,u,i,p,f7upi2,no
4198,0.05913042277097702,t,u,i,p,f7upi2,no
4199,0.004665855318307877,tʃ,u,i,p,f7upi2,no
4191,0.06239045411348343,k,u,i,p,f7upi2,no
4186,0.04701552540063858,b,u,i,p,f7upi2,no
4187,0.05905960872769356,d,u,i,p,f7upi2,no
4188,0.00855924654752016,dʒ,u,i,p,f7upi2,no
4205,0.023026669397950172,ɡ,u,i,p,f7upi2,no
4189,0.022543685510754585,f,u,i,p,f7upi2,no
4208,0.011238643899559975,θ,u,i,p,f7upi2,no
4197,0.00929691269993782,s,u,i,p,f7upi2,no
4206,0.004980945959687233,ʃ,u,i,p,f7upi2,no
4200,0.05511542037129402,v,u,i,p,f7upi2,no
4203,0.018340161070227623,ð,u,i,p,f7upi2,no
4202,0.015622727572917938,z,u,i,p,f7upi2,no
4207,0.0002942051796708256,ʒ,u,i,p,f7upi2,no
4193,0.0851736068725586,m,u,i,p,f7upi2,no
4194,0.135198712348938,n,u,i,p,f7upi2,no
4204,0.03291536495089531,ŋ,u,i,p,f7upi2,no
4196,0.043955378234386444,r,u,i,p,f7upi2,no
4192,0.13559295237064362,l,u,i,p,f7upi2,no
4190,0.024166759103536606,j,u,i,p,f7upi2,no
4201,0.033828217536211014,w,u,i,p,f7upi2,no
4563,0.08700086921453476,p,a,i,p,m14api1,no
4566,0.06087970733642578,t,a,i,p,m14api1,no
4567,0.0007855088915675879,tʃ,a,i,p,m14api1,no
4559,0.10299495607614517,k,a,i,p,m14api1,no
4554,0.016615575179457664,b,a,i,p,m14api1,no
4555,0.02530282735824585,d,a,i,p,m14api1,no
4556,0.0010452925926074386,dʒ,a,i,p,m14api1,no
4573,0.0018518397118896246,ɡ,a,i,p,m14api1,no
4557,0.06579425930976868,f,a,i,p,m14api1,no
4576,0.013487551361322403,θ,a,i,p,m14api1,no
4565,0.023533763363957405,s,a,i,p,m14api1,no
4574,0.0013960107462480664,ʃ,a,i,p,m14api1,no
4568,0.014870693907141685,v,a,i,p,m14api1,no
4571,0.007288643624633551,ð,a,i,p,m14api1,no
4570,0.002291796961799264,z,a,i,p,m14api1,no
4575,2.334017335670069e-05,ʒ,a,i,p,m14api1,no
4561,0.3847073018550873,m,a,i,p,m14api1,no
4562,0.11966502666473389,n,a,i,p,m14api1,no
4572,0.015568826347589493,ŋ,a,i,p,m14api1,no
4564,0.02691705711185932,r,a,i,p,m14api1,no
4560,0.02110818214714527,l,a,i,p,m14api1,no
4558,0.0006091198301874101,j,a,i,p,m14api1,no
4569,0.006261894479393959,w,a,i,p,m14api1,no
5414,0.0431058295071125,p,u,a,p,m14upa2,no
5417,0.015343102626502514,t,u,a,p,m14upa2,no
5418,0.001964256865903735,tʃ,u,a,p,m14upa2,no
5410,0.0293144341558218,k,u,a,p,m14upa2,no
5405,0.028571471571922302,b,u,a,p,m14upa2,no
5406,0.16585266590118408,d,u,a,p,m14upa2,no
5407,0.004115991294384003,dʒ,u,a,p,m14upa2,no
5424,0.028870636597275734,ɡ,u,a,p,m14upa2,no
5408,0.012176730670034885,f,u,a,p,m14upa2,no
5427,0.009355377405881882,θ,u,a,p,m14upa2,no
5416,0.003627162193879485,s,u,a,p,m14upa2,no
5425,0.0014600842259824276,ʃ,u,a,p,m14upa2,no
5419,0.06461236625909805,v,u,a,p,m14upa2,no
5422,0.005977822933346033,ð,u,a,p,m14upa2,no
5421,0.008279071189463139,z,u,a,p,m14upa2,no
5426,0.000223722803639248,ʒ,u,a,p,m14upa2,no
5412,0.044486138969659805,m,u,a,p,m14upa2,no
5413,0.13015292584896088,n,u,a,p,m14upa2,no
5423,0.010707713663578033,ŋ,u,a,p,m14upa2,no
5415,0.25393667817115784,r,u,a,p,m14upa2,no
5411,0.11626019328832626,l,u,a,p,m14upa2,no
5409,0.006327964831143618,j,u,a,p,m14upa2,no
5420,0.015277682803571224,w,u,a,p,m14upa2,no
5759,0.09028542786836624,p,a,a,p,m16apa1,no
5762,0.031157420948147774,t,a,a,p,m16apa1,no
5763,0.00019932309805881232,tʃ,a,a,p,m16apa1,no
5755,0.022370655089616776,k,a,a,p,m16apa1,no
5750,0.019808592274785042,b,a,a,p,m16apa1,no
5751,0.02383461222052574,d,a,a,p,m16apa1,no
5752,0.00035674162791110575,dʒ,a,a,p,m16apa1,no
5769,0.0012972874101251364,ɡ,a,a,p,m16apa1,no
5753,0.07445812970399857,f,a,a,p,m16apa1,no
5772,0.01794343814253807,θ,a,a,p,m16apa1,no
5761,0.18825186789035797,s,a,a,p,m16apa1,no
5770,0.0005151883815415204,ʃ,a,a,p,m16apa1,no
5764,0.009993280284106731,v,a,a,p,m16apa1,no
5767,0.005881594028323889,ð,a,a,p,m16apa1,no
5766,0.003967507742345333,z,a,a,p,m16apa1,no
5771,2.0727122773678275e-06,ʒ,a,a,p,m16apa1,no
5757,0.3343147337436676,m,a,a,p,m16apa1,no
5758,0.11249122768640518,n,a,a,p,m16apa1,no
5768,0.006071829702705145,ŋ,a,a,p,m16apa1,no
5760,0.010198745876550674,r,a,a,p,m16apa1,no
5756,0.03336593136191368,l,a,a,p,m16apa1,no
5754,0.00037402837187983096,j,a,a,p,m16apa1,no
5765,0.012860415503382683,w,a,a,p,m16apa1,no
6104,0.056987542659044266,p,i,i,p,m16ipi2,no
6107,0.09609968215227127,t,i,i,p,m16ipi2,no
6108,0.04237537458539009,tʃ,i,i,p,m16ipi2,no
6100,0.25276046991348267,k,i,i,p,m16ipi2,no
6095,0.018318545073270798,b,i,i,p,m16ipi2,no
6096,0.14105582237243652,d,i,i,p,m16ipi2,no
6097,0.03638070076704025,dʒ,i,i,p,m16ipi2,no
6114,0.019684065133333206,ɡ,i,i,p,m16ipi2,no
6098,0.013731827959418297,f,i,i,p,m16ipi2,no
6117,0.0025471565313637257,θ,i,i,p,m16ipi2,no
6106,0.007991082035005093,s,i,i,p,m16ipi2,no
6115,0.009970291517674923,ʃ,i,i,p,m16ipi2,no
6109,0.03856462612748146,v,i,i,p,m16ipi2,no
6112,0.006465633399784565,ð,i,i,p,m16ipi2,no
6111,0.011630414053797722,z,i,i,p,m16ipi2,no
6116,0.00017851624579634517,ʒ,i,i,p,m16ipi2,no
6102,0.024613918736577034,m,i,i,p,m16ipi2,no
6103,0.09407293051481247,n,i,i,p,m16ipi2,no
6113,0.07726266235113144,ŋ,i,i,p,m16ipi2,no
6105,0.0043443432077765465,r,i,i,p,m16ipi2,no
6101,0.008169203996658325,l,i,i,p,m16ipi2,no
6099,0.03110019490122795,j,i,i,p,m16ipi2,no
6110,0.00569496676325798,w,i,i,p,m16ipi2,no
6863,0.1405143290758133,p,a,a,p,m19apa1,no
6866,0.021683262661099434,t,a,a,p,m19apa1,no
6867,0.00018504803301766515,tʃ,a,a,p,m19apa1,no
6859,0.12599243223667145,k,a,a,p,m19apa1,no
6854,0.04068753495812416,b,a,a,p,m19apa1,no
6855,0.018443351611495018,d,a,a,p,m19apa1,no
6856,0.0007748991483822465,dʒ,a,a,p,m19apa1,no
6873,0.00647257873788476,ɡ,a,a,p,m19apa1,no
6857,0.07520803809165955,f,a,a,p,m19apa1,no
6876,0.0064922114834189415,θ,a,a,p,m19apa1,no
6865,0.04553525894880295,s,a,a,p,m19apa1,no
6874,0.0031272738706320524,ʃ,a,a,p,m19apa1,no
6868,0.0251635555177927,v,a,a,p,m19apa1,no
6871,0.007899603806436062,ð,a,a,p,m19apa1,no
6870,0.006961872335523367,z,a,a,p,m19apa1,no
6875,1.7665288396528922e-05,ʒ,a,a,p,m19apa1,no
6861,0.22383129596710205,m,a,a,p,m19apa1,no
6862,0.15137410163879395,n,a,a,p,m19apa1,no
6872,0.016948342323303223,ŋ,a,a,p,m19apa1,no
6864,0.03272458538413048,r,a,a,p,m19apa1,no
6860,0.020223289728164673,l,a,a,p,m19apa1,no
6858,0.00040910247480496764,j,a,a,p,m19apa1,no
6869,0.02933032438158989,w,a,a,p,m19apa1,no
6886,0.30707600712776184,p,a,u,p,m19apu2,no
6889,0.04304609075188637,t,a,u,p,m19apu2,no
6890,0.0005841185338795185,tʃ,a,u,p,m19apu2,no
6882,0.14750833809375763,k,a,u,p,m19apu2,no
6877,0.022985821589827538,b,a,u,p,m19apu2,no
6878,0.012957753613591194,d,a,u,p,m19apu2,no
6879,0.0005566555773839355,dʒ,a,u,p,m19apu2,no
6896,0.0012820966076105833,ɡ,a,u,p,m19apu2,no
6880,0.09458358585834503,f,a,u,p,m19apu2,no
6899,0.011459271423518658,θ,a,u,p,m19apu2,no
6888,0.058282095938920975,s,a,u,p,m19apu2,no
6897,0.0018187890527769923,ʃ,a,u,p,m19apu2,no
6891,0.010841711424291134,v,a,u,p,m19apu2,no
6894,0.005510979797691107,ð,a,u,p,m19apu2,no
6893,0.00477177370339632,z,a,u,p,m19apu2,no
6898,1.3924155609856825e-05,ʒ,a,u,p,m19apu2,no
6884,0.1909884214401245,m,a,u,p,m19apu2,no
6885,0.033024776726961136,n,a,u,p,m19apu2,no
6895,0.0022394692059606314,ŋ,a,u,p,m19apu2,no
6887,0.01595432683825493,r,a,u,p,m19apu2,no
6883,0.024653902277350426,l,a,u,p,m19apu2,no
6881,0.0006248958525247872,j,a,u,p,m19apu2,no
6892,0.009235293604433537,w,a,u,p,m19apu2,no
7898,0.2007201910018921,p,a,a,p,m3apa1,no
7901,0.05027182027697563,t,a,a,p,m3apa1,no
7902,0.0003379406116437167,tʃ,a,a,p,m3apa1,no
7894,0.046734098345041275,k,a,a,p,m3apa1,no
7889,0.02027774788439274,b,a,a,p,m3apa1,no
7890,0.03523380309343338,d,a,a,p,m3apa1,no
7891,0.0002660534519236535,dʒ,a,a,p,m3apa1,no
7908,0.003269986482337117,ɡ,a,a,p,m3apa1,no
7892,0.03386042267084122,f,a,a,p,m3apa1,no
7911,0.010500319302082062,θ,a,a,p,m3apa1,no
7900,0.023935817182064056,s,a,a,p,m3apa1,no
7909,0.00033782218815758824,ʃ,a,a,p,m3apa1,no
7903,0.023015392944216728,v,a,a,p,m3apa1,no
7906,0.0071964506059885025,ð,a,a,p,m3apa1,no
7905,0.0025807858910411596,z,a,a,p,m3apa1,no
7910,1.0698175174184144e-05,ʒ,a,a,p,m3apa1,no
7896,0.21877355873584747,m,a,a,p,m3apa1,no
7897,0.17965859174728394,n,a,a,p,m3apa1,no
7907,0.02309531718492508,ŋ,a,a,p,m3apa1,no
7899,0.02123424969613552,r,a,a,p,m3apa1,no
7895,0.08663929998874664,l,a,a,p,m3apa1,no
7893,0.0008127384353429079,j,a,a,p,m3apa1,no
7904,0.011236866004765034,w,a,a,p,m3apa1,no
8289,0.11000975221395493,p,i,u,p,m3ipu2,no
8292,0.051583822816610336,t,i,u,p,m3ipu2,no
8293,0.0688268318772316,tʃ,i,u,p,m3ipu2,no
8285,0.17343753576278687,k,i,u,p,m3ipu2,no
8280,0.03910726681351662,b,i,u,p,m3ipu2,no
8281,0.14023995399475098,d,i,u,p,m3ipu2,no
8282,0.049743253737688065,dʒ,i,u,p,m3ipu2,no
8299,0.010830354876816273,ɡ,i,u,p,m3ipu2,no
8283,0.026540104299783707,f,i,u,p,m3ipu2,no
8302,0.003380378009751439,θ,i,u,p,m3ipu2,no
8291,0.022711429744958878,s,i,u,p,m3ipu2,no
8300,0.016616210341453552,ʃ,i,u,p,m3ipu2,no
8294,0.036850687116384506,v,i,u,p,m3ipu2,no
8297,0.008083420805633068,ð,i,u,p,m3ipu2,no
8296,0.05091553181409836,z,i,u,p,m3ipu2,no
8301,0.00038790112012065947,ʒ,i,u,p,m3ipu2,no
8287,0.02288377285003662,m,i,u,p,m3ipu2,no
8288,0.0575132742524147,n,i,u,p,m3ipu2,no
8298,0.015580782666802406,ŋ,i,u,p,m3ipu2,no
8290,0.007787722162902355,r,i,u,p,m3ipu2,no
8286,0.013159343041479588,l,i,u,p,m3ipu2,no
8284,0.04657089710235596,j,i,u,p,m3ipu2,no
8295,0.027239853516221046,w,i,u,p,m3ipu2,no
607,0.019275004044175148,p,i,i,t,f12iti2,no
610,0.0800473764538765,t,i,i,t,f12iti2,no
611,0.03023267351090908,tʃ,i,i,t,f12iti2,no
603,0.1470099538564682,k,i,i,t,f12iti2,no
598,0.01887206919491291,b,i,i,t,f12iti2,no
599,0.0922050029039383,d,i,i,t,f12iti2,no
600,0.06797005236148834,dʒ,i,i,t,f12iti2,no
617,0.040771178901195526,ɡ,i,i,t,f12iti2,no
601,0.011841321364045143,f,i,i,t,f12iti2,no
620,0.006367258261889219,θ,i,i,t,f12iti2,no
609,0.09701605141162872,s,i,i,t,f12iti2,no
618,0.011034528724849224,ʃ,i,i,t,f12iti2,no
612,0.04829828068614006,v,i,i,t,f12iti2,no
615,0.002274672966450453,ð,i,i,t,f12iti2,no
614,0.05884895846247673,z,i,i,t,f12iti2,no
619,6.452036905102432e-05,ʒ,i,i,t,f12iti2,no
605,0.020108290016651154,m,i,i,t,f12iti2,no
606,0.07085961848497391,n,i,i,t,f12iti2,no
616,0.1324928253889084,ŋ,i,i,t,f12iti2,no
608,0.0015104718040674925,r,i,i,t,f12iti2,no
604,0.0026203845627605915,l,i,i,t,f12iti2,no
602,0.01616152562201023,j,i,i,t,f12iti2,no
613,0.02411806210875511,w,i,i,t,f12iti2,no
630,0.006808695383369923,p,i,u,t,f12itu1,no
633,0.08355444669723511,t,i,u,t,f12itu1,no
634,0.18709620833396912,tʃ,i,u,t,f12itu1,no
626,0.10308533906936646,k,i,u,t,f12itu1,no
621,0.011216883547604084,b,i,u,t,f12itu1,no
622,0.19343502819538116,d,i,u,t,f12itu1,no
623,0.14010916650295258,dʒ,i,u,t,f12itu1,no
640,0.0017968897009268403,ɡ,i,u,t,f12itu1,no
624,0.007463635876774788,f,i,u,t,f12itu1,no
643,0.0015009623020887375,θ,i,u,t,f12itu1,no
632,0.017594264820218086,s,i,u,t,f12itu1,no
641,0.016506588086485863,ʃ,i,u,t,f12itu1,no
635,0.0114290751516819,v,i,u,t,f12itu1,no
638,0.0026815636083483696,ð,i,u,t,f12itu1,no
637,0.036697134375572205,z,i,u,t,f12itu1,no
642,0.0004433465073816478,ʒ,i,u,t,f12itu1,no
628,0.0030704725068062544,m,i,u,t,f12itu1,no
629,0.038812894374132156,n,i,u,t,f12itu1,no
639,0.02593356743454933,ŋ,i,u,t,f12itu1,no
631,0.0004414829018060118,r,i,u,t,f12itu1,no
627,0.0010989813599735498,l,i,u,t,f12itu1,no
625,0.08595176041126251,j,i,u,t,f12itu1,no
636,0.02327161654829979,w,i,u,t,f12itu1,no
1458,0.008768617175519466,p,a,i,t,f1ati2,no
1461,0.1878785938024521,t,a,i,t,f1ati2,no
1462,0.027804452925920486,tʃ,a,i,t,f1ati2,no
1454,0.07366187870502472,k,a,i,t,f1ati2,no
1449,0.0051542846485972404,b,a,i,t,f1ati2,no
1450,0.04554101452231407,d,a,i,t,f1ati2,no
1451,0.06470052897930145,dʒ,a,i,t,f1ati2,no
1468,0.0011333901202306151,ɡ,a,i,t,f1ati2,no
1452,0.0216123815625906,f,a,i,t,f1ati2,no
1471,0.01349753700196743,θ,a,i,t,f1ati2,no
1460,0.2507842481136322,s,a,i,t,f1ati2,no
1469,0.017426833510398865,ʃ,a,i,t,f1ati2,no
1463,0.006126143503934145,v,a,i,t,f1ati2,no
1466,0.0067824264988303185,ð,a,i,t,f1ati2,no
1465,0.051819078624248505,z,a,i,t,f1ati2,no
1470,0.0003187184047419578,ʒ,a,i,t,f1ati2,no
1456,0.0283674243837595,m,a,i,t,f1ati2,no
1457,0.1302732676267624,n,a,i,t,f1ati2,no
1467,0.023506393656134605,ŋ,a,i,t,f1ati2,no
1459,0.00023329281248152256,r,a,i,t,f1ati2,no
1455,0.0016256606904789805,l,a,i,t,f1ati2,no
1453,0.03161516785621643,j,a,i,t,f1ati2,no
1464,0.0013686582678928971,w,a,i,t,f1ati2,no
2194,0.02425752952694893,p,u,u,t,f1utu1,no
2197,0.06579704582691193,t,u,u,t,f1utu1,no
2198,0.00945029966533184,tʃ,u,u,t,f1utu1,no
2190,0.05773909389972687,k,u,u,t,f1utu1,no
2185,0.03851377218961716,b,u,u,t,f1utu1,no
2186,0.15785236656665802,d,u,u,t,f1utu1,no
2187,0.04657083377242088,dʒ,u,u,t,f1utu1,no
2204,0.018022574484348297,ɡ,u,u,t,f1utu1,no
2188,0.012541014701128006,f,u,u,t,f1utu1,no
2207,0.017599092796444893,θ,u,u,t,f1utu1,no
2196,0.04453415051102638,s,u,u,t,f1utu1,no
2205,0.005346348043531179,ʃ,u,u,t,f1utu1,no
2199,0.05065751075744629,v,u,u,t,f1utu1,no
2202,0.020537029951810837,ð,u,u,t,f1utu1,no
2201,0.14309623837471008,z,u,u,t,f1utu1,no
2206,0.0008031800389289856,ʒ,u,u,t,f1utu1,no
2192,0.020894169807434082,m,u,u,t,f1utu1,no
2193,0.12409666925668716,n,u,u,t,f1utu1,no
2203,0.03393112123012543,ŋ,u,u,t,f1utu1,no
2195,0.00954810157418251,r,u,u,t,f1utu1,no
2191,0.023361511528491974,l,u,u,t,f1utu1,no
2189,0.01730344071984291,j,u,u,t,f1utu1,no
2200,0.05754683539271355,w,u,u,t,f1utu1,no
2792,0.037219006568193436,p,i,a,t,f21ita1,no
2795,0.059531379491090775,t,i,a,t,f21ita1,no
2796,0.050982147455215454,tʃ,i,a,t,f21ita1,no
2788,0.10380309820175171,k,i,a,t,f21ita1,no
2783,0.010341876186430454,b,i,a,t,f21ita1,no
2784,0.37771156430244446,d,i,a,t,f21ita1,no
2785,0.04787987470626831,dʒ,i,a,t,f21ita1,no
2802,0.0009496703278273344,ɡ,i,a,t,f21ita1,no
2786,0.01880892738699913,f,i,a,t,f21ita1,no
2805,0.004821996204555035,θ,i,a,t,f21ita1,no
2794,0.03687209263443947,s,i,a,t,f21ita1,no
2803,0.004998213145881891,ʃ,i,a,t,f21ita1,no
2797,0.031722016632556915,v,i,a,t,f21ita1,no
2800,0.0015796872321516275,ð,i,a,t,f21ita1,no
2799,0.035233527421951294,z,i,a,t,f21ita1,no
2804,0.00028819870203733444,ʒ,i,a,t,f21ita1,no
2790,0.015859881415963173,m,i,a,t,f21ita1,no
2791,0.07916119694709778,n,i,a,t,f21ita1,no
2801,0.028485996648669243,ŋ,i,a,t,f21ita1,no
